event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude
78,2007-05-23 00:00:00,"Pangthang, on road b/t Gangtok and North Sikkim","Pangthang, on road b/t Gangtok and North Sikkim",Sikkim,landslide,rain,medium,unknown,,,88.6069,27.3383
126,2007-07-16 00:00:00,Bardang near Singtam,Bardang near Singtam,Sikkim,mudslide,rain,medium,unknown,,,88.38,27.1499
130,2007-07-19 00:00:00,Guwahati,Guwahati,Assam,landslide,rain,medium,unknown,6.0,,91.7986,26.1699
141,2007-07-26 00:00:00,Singtam,Singtam,Meghalaya,landslide,rain,medium,unknown,,,91.88,25.38
142,2007-07-27 00:00:00,Tura,Tura,Meghalaya,rock_fall,rain,large,unknown,8.0,,90.232,25.5212
148,2007-07-30 00:00:00,Saiha,Saiha,Mizoram,landslide,downpour,medium,unknown,,,92.967,22.479
147,2007-07-30 00:00:00,Lawngtlai,Lawngtlai,Mizoram,landslide,downpour,medium,unknown,,,92.899,22.533
211,2007-08-26 00:00:00,Tamenglong,Tamenglong,Manipur,mudslide,continuous_rain,medium,unknown,1.0,,93.55,24.9667
213,2007-08-26 00:00:00,Shillong Road at Kuliang in the Jaintia Hills,Shillong Road at Kuliang in the Jaintia Hills,Assam,landslide,rain,medium,unknown,,,92.8339,25.2946
212,2007-08-26 00:00:00,National Highway No 44 at Sonarpur in Meghalaya,National Highway No 44 at Sonarpur in Meghalaya,Meghalaya,complex,rain,medium,unknown,,,91.8506,25.5576
215,2007-08-28 00:00:00,Phesema area at National Highway 39,Phesema area at National Highway 39,Nagaland,landslide,rain,medium,unknown,1.0,,93.9136,25.7428
220,2007-08-31 00:00:00,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",Manipur,landslide,rain,medium,unknown,,,93.9667,25.1333
247,2007-09-08 00:00:00,"Lower Shajouba village near Tadubi along NH 39, Manipur ","Lower Shajouba village near Tadubi along NH 39, Manipur ",Manipur,landslide,rain,medium,unknown,,,93.9877,25.0604
251,2007-09-09 00:00:00,Hingdam village in South Sikkim,Hingdam village in South Sikkim,Sikkim,landslide,rain,medium,unknown,1.0,,88.35,27.1667
252,2007-09-09 00:00:00,"Mao in Manipur, Phipema and Chunikhudima in Nagaland","Mao in Manipur, Phipema and Chunikhudima in Nagaland",Nagaland,landslide,rain,medium,unknown,,,94.1192,25.4993
255,2007-09-10 00:00:00,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Manipur,landslide,rain,medium,unknown,,,94.0691,24.2451
256,2007-09-10 00:00:00,Rhodong village near Rhey in East Sikkim,Rhodong village near Rhey in East Sikkim,Sikkim,landslide,rain,medium,unknown,,,88.6236,27.3425
259,2007-09-11 00:00:00,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",Meghalaya,landslide,rain,medium,unknown,,,91.27,25.52
