event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa
78,2007-05-23 00:00:00,"Pangthang, on road b/t Gangtok and North Sikkim","Pangthang, on road b/t Gangtok and North Sikkim",Sikkim,landslide,rain,medium,unknown,,,88.6069,27.3383,161.4862084388733,453.4216821193695,1032.8895896673203,20.027520751953148,0.42610040307044983,0.42814889550209045,845.854609375
126,2007-07-16 00:00:00,Bardang near Singtam,Bardang near Singtam,Sikkim,mudslide,rain,medium,unknown,,,88.38,27.1499,110.06052792072296,350.1109704375267,2540.2766093611717,21.981835937500023,0.4205036163330078,0.41612306237220764,882.796484375
130,2007-07-19 00:00:00,Guwahati,Guwahati,Assam,landslide,rain,medium,unknown,6.0,,91.7986,26.1699,156.07595443725586,652.4329036474228,1926.1517077684402,27.218011474609398,0.4770622253417969,0.4885082244873047,989.247109375
141,2007-07-26 00:00:00,Singtam,Singtam,Meghalaya,landslide,rain,medium,unknown,,,91.88,25.38,1224.6181964874268,3381.230592727661,5833.229452371597,18.688226318359398,0.4831199645996094,0.5003795623779297,865.689921875
142,2007-07-27 00:00:00,Tura,Tura,Meghalaya,rock_fall,rain,large,unknown,8.0,,90.232,25.5212,788.2771492004395,2222.381293773651,3107.3904149234295,23.746820068359398,0.4871457517147064,0.4984283447265625,970.563046875
148,2007-07-30 00:00:00,Saiha,Saiha,Mizoram,landslide,downpour,medium,unknown,,,92.967,22.479,21.59593254327774,89.92395922541618,675.3991432487965,22.741143798828148,0.3917592465877533,0.39764150977134705,917.197734375
147,2007-07-30 00:00:00,Lawngtlai,Lawngtlai,Mizoram,landslide,downpour,medium,unknown,,,92.899,22.533,30.84084764122963,111.772071570158,741.8844290077686,23.652856445312523,0.3955300748348236,0.39948973059654236,935.905234375
211,2007-08-26 00:00:00,Tamenglong,Tamenglong,Manipur,mudslide,continuous_rain,medium,unknown,1.0,,93.55,24.9667,837.2078537940979,1272.4179476499557,1611.5845181047916,20.445428466796898,0.4262428283691406,0.42688050866127014,899.217265625
213,2007-08-26 00:00:00,Shillong Road at Kuliang in the Jaintia Hills,Shillong Road at Kuliang in the Jaintia Hills,Assam,landslide,rain,medium,unknown,,,92.8339,25.2946,790.7280921936035,1416.895940899849,1826.3589665293694,21.405145263671898,0.49598121643066406,0.4998607635498047,907.623515625
212,2007-08-26 00:00:00,National Highway No 44 at Sonarpur in Meghalaya,National Highway No 44 at Sonarpur in Meghalaya,Meghalaya,complex,rain,medium,unknown,,,91.8506,25.5576,162.37355768680573,544.0937429666519,996.3797107338905,20.743463134765648,0.4899202883243561,0.49949073791503906,875.617734375
215,2007-08-28 00:00:00,Phesema area at National Highway 39,Phesema area at National Highway 39,Nagaland,landslide,rain,medium,unknown,1.0,,93.9136,25.7428,287.458211183548,1916.5537059307098,2402.5694131851196,22.006005859375023,0.460315078496933,0.4894174039363861,885.740859375
220,2007-08-31 00:00:00,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",Manipur,landslide,rain,medium,unknown,,,93.9667,25.1333,82.45778828859329,315.32134115695953,1722.3937958478928,21.735833740234398,0.4828084409236908,0.48435530066490173,878.015625
247,2007-09-08 00:00:00,"Lower Shajouba village near Tadubi along NH 39, Manipur ","Lower Shajouba village near Tadubi along NH 39, Manipur ",Manipur,landslide,rain,medium,unknown,,,93.9877,25.0604,338.31778168678284,1029.5172333717346,2366.5787279605865,19.920861816406273,0.48371824622154236,0.4855995178222656,878.498359375
251,2007-09-09 00:00:00,Hingdam village in South Sikkim,Hingdam village in South Sikkim,Sikkim,landslide,rain,medium,unknown,1.0,,88.35,27.1667,731.5124273300171,2937.6699924468994,5667.840480804443,20.042413330078148,0.42407098412513733,0.4317677915096283,873.039609375
