event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa,elevation_m,slope_degree,aspect_degree,landcover_code,landcover_class,landslide_occurred
78,2007-05-23 00:00:00,"Pangthang, on road b/t Gangtok and North Sikkim","Pangthang, on road b/t Gangtok and North Sikkim",Sikkim,landslide,rain,medium,unknown,,,88.6069,27.3383,161.4862084388733,453.4216821193695,1032.8895896673205,20.027520751953148,0.4261004030704498,0.4281488955020904,845.854609375,1469.758056640625,17.94398388888501,255.26301919686688,50,Built-up,1
126,2007-07-16 00:00:00,Bardang near Singtam,Bardang near Singtam,Sikkim,mudslide,rain,medium,unknown,,,88.38,27.1499,110.06052792072296,350.1109704375267,2540.276609361172,21.981835937500023,0.4205036163330078,0.4161230623722076,882.796484375,1178.104248046875,18.460045659504644,338.49080778614706,10,Tree cover,1
130,2007-07-19 00:00:00,Guwahati,Guwahati,Assam,landslide,rain,medium,unknown,6.0,,91.7986,26.1699,156.07595443725586,652.4329036474228,1926.15170776844,27.2180114746094,0.4770622253417969,0.4885082244873047,989.247109375,139.7529296875,1.150776366449367,273.2570413768472,10,Tree cover,1
141,2007-07-26 00:00:00,Singtam,Singtam,Meghalaya,landslide,rain,medium,unknown,,,91.88,25.38,1224.6181964874268,3381.230592727661,5833.229452371597,18.6882263183594,0.4831199645996094,0.5003795623779297,865.689921875,1183.9072265625,26.729171644206307,78.28908991352984,10,Tree cover,1
142,2007-07-27 00:00:00,Tura,Tura,Meghalaya,rock_fall,rain,large,unknown,8.0,,90.232,25.5212,788.2771492004395,2222.381293773651,3107.390414923429,23.7468200683594,0.4871457517147064,0.4984283447265625,970.563046875,556.3187866210938,18.161223331691836,296.6346602080793,10,Tree cover,1
148,2007-07-30 00:00:00,Saiha,Saiha,Mizoram,landslide,downpour,medium,unknown,,,92.967,22.479,21.59593254327774,89.92395922541618,675.3991432487965,22.741143798828148,0.3917592465877533,0.397641509771347,917.197734375,,,,10,Tree cover,1
147,2007-07-30 00:00:00,Lawngtlai,Lawngtlai,Mizoram,landslide,downpour,medium,unknown,,,92.899,22.533,30.84084764122963,111.772071570158,741.8844290077686,23.652856445312523,0.3955300748348236,0.3994897305965423,935.905234375,,,,30,Grassland,1
211,2007-08-26 00:00:00,Tamenglong,Tamenglong,Manipur,mudslide,continuous_rain,medium,unknown,1.0,,93.55,24.9667,837.2078537940979,1272.4179476499555,1611.5845181047916,20.445428466796898,0.4262428283691406,0.4268805086612701,899.217265625,593.2677001953125,9.033307194090469,272.87453137637533,10,Tree cover,1
213,2007-08-26 00:00:00,Shillong Road at Kuliang in the Jaintia Hills,Shillong Road at Kuliang in the Jaintia Hills,Assam,landslide,rain,medium,unknown,,,92.8339,25.2946,790.7280921936035,1416.895940899849,1826.3589665293691,21.405145263671898,0.495981216430664,0.4998607635498047,907.623515625,866.6158447265625,8.047162645630273,28.22589519606862,30,Grassland,1
212,2007-08-26 00:00:00,National Highway No 44 at Sonarpur in Meghalaya,National Highway No 44 at Sonarpur in Meghalaya,Meghalaya,complex,rain,medium,unknown,,,91.8506,25.5576,162.37355768680573,544.0937429666519,996.3797107338904,20.743463134765648,0.4899202883243561,0.499490737915039,875.617734375,1658.1741943359375,3.944564736044552,54.566847946680696,10,Tree cover,1
215,2007-08-28 00:00:00,Phesema area at National Highway 39,Phesema area at National Highway 39,Nagaland,landslide,rain,medium,unknown,1.0,,93.9136,25.7428,287.458211183548,1916.5537059307096,2402.56941318512,22.006005859375023,0.460315078496933,0.4894174039363861,885.740859375,483.72894287109375,5.545715255344877,217.545121264143,10,Tree cover,1
220,2007-08-31 00:00:00,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",Manipur,landslide,rain,medium,unknown,,,93.9667,25.1333,82.45778828859329,315.32134115695953,1722.3937958478928,21.7358337402344,0.4828084409236908,0.4843553006649017,878.015625,1013.5531005859376,2.1161684327771955,229.28498003057123,40,Cropland,1
247,2007-09-08 00:00:00,"Lower Shajouba village near Tadubi along NH 39, Manipur ","Lower Shajouba village near Tadubi along NH 39, Manipur ",Manipur,landslide,rain,medium,unknown,,,93.9877,25.0604,338.31778168678284,1029.5172333717346,2366.5787279605865,19.920861816406276,0.4837182462215423,0.4855995178222656,878.498359375,1451.440185546875,5.5229440656559,98.99110219232244,30,Grassland,1
251,2007-09-09 00:00:00,Hingdam village in South Sikkim,Hingdam village in South Sikkim,Sikkim,landslide,rain,medium,unknown,1.0,,88.35,27.1667,731.5124273300171,2937.6699924468994,5667.840480804443,20.042413330078148,0.4240709841251373,0.4317677915096283,873.039609375,1056.92578125,24.816828260224955,309.410111185784,10,Tree cover,1
252,2007-09-09 00:00:00,"Mao in Manipur, Phipema and Chunikhudima in Nagaland","Mao in Manipur, Phipema and Chunikhudima in Nagaland",Nagaland,landslide,rain,medium,unknown,,,94.1192,25.4993,208.5884064435959,984.1732084751128,2317.495793104172,18.799737548828148,0.4952373504638672,0.4865684509277344,833.197890625,1997.084228515625,1.322223075465551,114.42213010415014,10,Tree cover,1
255,2007-09-10 00:00:00,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Manipur,landslide,rain,medium,unknown,,,94.0691,24.2451,120.01198530197144,327.7340158820152,2266.463540494442,22.016442871093773,0.434781402349472,0.4333133697509765,895.1190625,1243.0540771484375,16.400017157937622,136.30742401944758,10,Tree cover,1
