event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,elevation_m,slope_degree,aspect_degree
78,2007-05-23 00:00:00,"Pangthang, on road b/t Gangtok and North Sikkim","Pangthang, on road b/t Gangtok and North Sikkim",Sikkim,landslide,rain,medium,unknown,,,88.6069,27.3383,1469.758056640625,17.94398388888501,255.26301919686688
126,2007-07-16 00:00:00,Bardang near Singtam,Bardang near Singtam,Sikkim,mudslide,rain,medium,unknown,,,88.38,27.1499,1178.104248046875,18.460045659504644,338.49080778614706
130,2007-07-19 00:00:00,Guwahati,Guwahati,Assam,landslide,rain,medium,unknown,6.0,,91.7986,26.1699,139.7529296875,1.150776366449367,273.25704137684716
141,2007-07-26 00:00:00,Singtam,Singtam,Meghalaya,landslide,rain,medium,unknown,,,91.88,25.38,1183.9072265625,26.729171644206307,78.28908991352984
142,2007-07-27 00:00:00,Tura,Tura,Meghalaya,rock_fall,rain,large,unknown,8.0,,90.232,25.5212,556.3187866210938,18.161223331691833,296.6346602080793
148,2007-07-30 00:00:00,Saiha,Saiha,Mizoram,landslide,downpour,medium,unknown,,,92.967,22.479,,,
147,2007-07-30 00:00:00,Lawngtlai,Lawngtlai,Mizoram,landslide,downpour,medium,unknown,,,92.899,22.533,,,
211,2007-08-26 00:00:00,Tamenglong,Tamenglong,Manipur,mudslide,continuous_rain,medium,unknown,1.0,,93.55,24.9667,593.2677001953125,9.033307194090467,272.87453137637533
213,2007-08-26 00:00:00,Shillong Road at Kuliang in the Jaintia Hills,Shillong Road at Kuliang in the Jaintia Hills,Assam,landslide,rain,medium,unknown,,,92.8339,25.2946,866.6158447265625,8.047162645630273,28.22589519606862
212,2007-08-26 00:00:00,National Highway No 44 at Sonarpur in Meghalaya,National Highway No 44 at Sonarpur in Meghalaya,Meghalaya,complex,rain,medium,unknown,,,91.8506,25.5576,1658.1741943359375,3.944564736044552,54.566847946680696
215,2007-08-28 00:00:00,Phesema area at National Highway 39,Phesema area at National Highway 39,Nagaland,landslide,rain,medium,unknown,1.0,,93.9136,25.7428,483.72894287109375,5.545715255344877,217.545121264143
220,2007-08-31 00:00:00,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",Manipur,landslide,rain,medium,unknown,,,93.9667,25.1333,1013.5531005859375,2.1161684327771955,229.28498003057123
247,2007-09-08 00:00:00,"Lower Shajouba village near Tadubi along NH 39, Manipur ","Lower Shajouba village near Tadubi along NH 39, Manipur ",Manipur,landslide,rain,medium,unknown,,,93.9877,25.0604,1451.440185546875,5.5229440656559,98.99110219232244
251,2007-09-09 00:00:00,Hingdam village in South Sikkim,Hingdam village in South Sikkim,Sikkim,landslide,rain,medium,unknown,1.0,,88.35,27.1667,1056.92578125,24.816828260224955,309.410111185784
252,2007-09-09 00:00:00,"Mao in Manipur, Phipema and Chunikhudima in Nagaland","Mao in Manipur, Phipema and Chunikhudima in Nagaland",Nagaland,landslide,rain,medium,unknown,,,94.1192,25.4993,1997.084228515625,1.322223075465551,114.42213010415014
255,2007-09-10 00:00:00,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Manipur,landslide,rain,medium,unknown,,,94.0691,24.2451,1243.0540771484375,16.400017157937622,136.30742401944758
256,2007-09-10 00:00:00,Rhodong village near Rhey in East Sikkim,Rhodong village near Rhey in East Sikkim,Sikkim,landslide,rain,medium,unknown,,,88.6236,27.3425,2014.58447265625,14.673609009819831,178.26255295287672
259,2007-09-11 00:00:00,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",Meghalaya,landslide,rain,medium,unknown,,,91.27,25.52,1337.01953125,1.6176414347499748,337.76361696007945
258,2007-09-11 00:00:00,"NH-39 at Imphal-Moreh section, Lokchao largest event","NH-39 at Imphal-Moreh section, Lokchao largest event",Manipur,landslide,rain,medium,unknown,3.0,,94.0564,24.4279,855.2040405273438,4.749735885853616,16.25409127576404
264,2007-09-13 00:00:00,Guwahati,Guwahati,Assam,landslide,rain,medium,unknown,,,91.8,26.1833,72.29508972167969,0.8982887354826263,184.72537245283925
269,2007-09-18 00:00:00,Geyzing-Jorethang road and Naya Bazar-Legship road,Geyzing-Jorethang road and Naya Bazar-Legship road,Sikkim,landslide,rain,medium,unknown,,,88.2816,27.2872,753.7874755859375,21.113069666591883,288.1881731233456
285,2007-09-29 00:00:00,"National Highway, 45 Aizwal (Mizoram)","National Highway, 45 Aizwal (Mizoram)",Mizoram,landslide,rain,medium,unknown,,,92.6921,24.1293,769.6942138671875,2.6331521248717906,43.93546991991616
313,2007-10-16 00:00:00,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland","NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland",Nagaland,landslide,rain,large,unknown,,,94.0132,25.7055,1421.5885009765625,15.4376377177618,126.54285061130884
319,2007-10-19 00:00:00,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur","Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",Nagaland,landslide,rain,medium,unknown,,,94.1162,25.4379,1478.8232421875,13.167278824071413,221.08207849733128
322,2007-10-21 00:00:00,National Highway 53 at Nungba in Tamenglong district of Manipur,National Highway 53 at Nungba in Tamenglong district of Manipur,Assam,landslide,rain,medium,unknown,,,93.4333,24.75,362.1705322265625,15.483210744660207,108.05906285383469
545,2008-05-20 00:00:00,"A Cachar District village, near village of Srinager, Assam","A Cachar District village, near village of Srinager, Assam",Assam,mudslide,mining,medium,unknown,5.0,,92.8411,24.9849,218.9383087158203,1.7799777815955864,208.3200022113483
580,2008-06-09 00:00:00,"near Kuloor church, in Manipur along National Highway","near Kuloor church, in Manipur along National Highway",Manipur,landslide,monsoon,medium,unknown,,,93.9784,24.6596,777.9933471679688,0.17862672874142524,324.2351926800735
585,2008-06-14 00:00:00,"Itanagar-Naharlagun, Arunachal Pradesh","Itanagar-Naharlagun, Arunachal Pradesh",Arunachal Pradesh,landslide,rain,large,unknown,21.0,,93.6287,27.0998,397.61767578125,3.2188206602496563,278.252701592709
587,2008-06-15 00:00:00,"Lakhimpur district, Bihpuria, Assam","Lakhimpur district, Bihpuria, Assam",Assam,landslide,downpour,medium,unknown,17.0,,94.0989,27.2298,95.56906127929688,0.04925431019124473,124.23375481267385
594,2008-06-19 00:00:00,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur","Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",Manipur,mudslide,monsoon,medium,unknown,,,93.8275,24.9336,959.5870361328125,9.0753535596754,102.77334528370255
692,2008-08-07 00:00:00,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland","National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",Nagaland,landslide,downpour,medium,unknown,,,94.04,25.705,1069.9625244140625,11.876354697613882,28.45708761427977
714,2008-08-14 00:00:00,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh","Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh",Assam,landslide,rain,medium,unknown,,,94.0,27.163,95.22576141357422,0.050065416566943764,148.8234333629058
731,2008-08-19 00:00:00,"Akuk village, Wokha District, Nagaland","Akuk village, Wokha District, Nagaland",Nagaland,mudslide,downpour,medium,unknown,4.0,,94.25,26.138,1015.8339233398438,13.059349424407154,147.45620535742762
755,2008-08-28 00:00:00,"Ranka, Sikkim and Louing road","Ranka, Sikkim and Louing road",Sikkim,landslide,downpour,medium,unknown,,,88.609,27.337,1469.758056640625,17.94398388888501,255.26301919686688
760,2008-08-29 00:00:00,"Kohima, Nagaland","Kohima, Nagaland",Nagaland,complex,downpour,medium,unknown,,,94.1066,25.67,1437.6785888671875,3.9006288041257204,233.36682764509732
868,2008-10-29 00:00:00,"Kamrup, and Sonitpur, Assam","Kamrup, and Sonitpur, Assam",Assam,landslide,downpour,medium,unknown,7.0,,91.25,26.3333,42.0692138671875,0.05714293616841228,304.9716275100889
870,2008-10-29 00:00:00,"West Kameng, Arunachal Pradesh","West Kameng, Arunachal Pradesh",Arunachal Pradesh,mudslide,downpour,medium,unknown,12.0,,92.35,27.4,2711.107421875,9.934314086862548,258.6990462524358
869,2008-10-29 00:00:00,North Lakhimpur ,North Lakhimpur ,Assam,landslide,downpour,medium,unknown,,,94.1167,27.2333,94.54557800292969,0.20617388962926675,185.32837544987603
1084,2009-08-12 00:00:00,"Upper Subansiri District, Arunanchal Pradesh","Upper Subansiri District, Arunanchal Pradesh",Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,92.8,27.7,2535.724853515625,15.343229888509324,198.73457215944094
1108,2009-08-20 00:00:00,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road","Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",Assam,landslide,downpour,medium,unknown,0.0,,93.5,24.9925,1207.78369140625,4.92708736299653,332.5417647835508
1112,2009-08-20 00:00:00,"NH31A, Mile 27 near Rambi","NH31A, Mile 27 near Rambi",Sikkim,mudslide,downpour,medium,unknown,0.0,,88.5287,27.1761,332.864501953125,9.077404859231882,214.5632951813357
1109,2009-08-20 00:00:00,Lumding-Badarpur section in North Cachar Hills district,Lumding-Badarpur section in North Cachar Hills district,Assam,landslide,downpour,medium,unknown,0.0,,93.1645,25.5215,266.9810791015625,0.4611351127389449,216.13233483239796
1125,2009-08-26 00:00:00,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim ","17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim ",Sikkim,landslide,rain,medium,unknown,,,88.7648,27.3746,3757.88720703125,8.163739033151451,195.52331757178783
1127,2009-08-27 00:00:00,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),Assam,landslide,downpour,medium,unknown,,,93.123,25.1718,698.047607421875,6.842775166761434,342.12263145573957
1129,2009-08-30 00:00:00,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur","Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",Manipur,landslide,downpour,medium,unknown,,,94.4182,24.8628,968.0101318359375,12.739920429100883,268.0123768530062
1168,2009-09-17 00:00:00,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.","4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",Sikkim,landslide,rain,medium,unknown,,,88.6115,27.1954,477.65380859375,8.361250314905117,359.2000025081556
1222,2009-10-05 00:00:00,"Chhinga Veng, Aizawl","Chhinga Veng, Aizawl",Mizoram,landslide,downpour,medium,urban,3.0,,92.72124394,23.73478778,1026.9345703125,1.775183193388253,112.64513598070482
1596,2010-03-27 20:00:00,"LangthAbal Khoupum, Imphal, Manipur","LangthAbal Khoupum, Imphal, Manipur",Manipur,mudslide,downpour,medium,unknown,0.0,,93.9161,24.7339,850.3824462890625,2.4993882102596463,180.6057527247282
1611,2010-04-01 00:00:00,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam","Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",Assam,landslide,downpour,medium,unknown,3.0,,93.028,25.1553,417.63446044921875,9.099453667848575,43.28617455961637
